,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
387,20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,Fingal County Council,18272172,Tim Stapleton,info@tetns.ie,D15X938,N,N,N,No subjects through Irish,Multi Denominational,301.0,274.0,575,D15X938,53.4231681,-6.382457199999999
388,20202A,BALBRIGGAN EDUCATE TOGETHER NS,Hamlet Lane,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,16904635,Fintan McCutcheon,balbrigganetns@eircom.net,K32NT02,N,Y,N,No subjects through Irish,Multi Denominational,200.0,201.0,401,K32NT02,53.6113581,-6.2067144
389,20218P,St Columbanus National School,Loughlinstown Drive,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12821220,Peter McCabe,officestcolumbanusns@gmail.com,A96X0D1,N,Y,N,No subjects through Irish,Catholic,51.0,57.0,108,A96X0D1,53.24710289999999,-6.1269705
390,20220C,GAELSCOIL UI EARCAIN,Bóthar Ghlas an Éin,Fionnghlas,Baile Átha Cliath 11,,Dublin,Dublin City Council,18643544,Leah Ní Mhaoláin,eolas@gsue.ie,D11VP44,N,Y,N,All subjects through Irish,Catholic,158.0,186.0,344,D11VP44,53.38740629999999,-6.289942099999999
391,20223I,GAELSCOIL EISCIR RIADA,Bóthar an Ghrifín,Leamhcán,Co. Átha Cliath,,Dublin,South Dublin County Council,16210342,Damhnait Uí Ruairc,gaelscoil_eiscirriada@yahoo.ie,K78YX77,N,N,N,All subjects through Irish,Catholic,228.0,229.0,457,K78YX77,53.34813399999999,-6.4366479
392,20231H,ST BENEDICTS NATIONAL SCHOOL,Ongar,Dublin 15,,,Dublin,Fingal County Council,16403011,Padraic Flesk,office.stbenedicts@gmail.com,D15PY61,N,N,N,No subjects through Irish,Catholic,342.0,314.0,656,D15PY61,53.3931773,-6.4408506
393,20241K,Scoil Choilm Community NS,Porterstown Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18213352,Treasa Lowe,scoilchoilm@sccns.ie,D15X582,N,Y,N,No subjects through Irish,Multi Denominational,414.0,461.0,875,D15X582,53.37605319999999,-6.4088404
394,20247W,Scoil Ghrainne Community National School,Phibblestown,Clonee,Dublin 15,,Dublin,Fingal County Council,16402418,Kenneth Scully,s.ghrainne@gmail.com,D15Y5PR,N,N,N,No subjects through Irish,Multi Denominational,313.0,350.0,663,D15Y5PR,53.39752439999999,-6.437106399999999
395,20252P,GAELSCOIL BHAILE BRIGIN,Fearann an Chaisleáin,Baile Brigín,Co. Átha Cliath,,Dublin,Fingal County Council,18416036,Clodagh Ní Mhaoilchiaráin,oifig@gsbhailebrigin.ie,K32YT18,N,N,N,All subjects through Irish,Inter Denominational,247.0,223.0,470,K32YT18,53.6005899,-6.1791182
396,20268H,Adamstown Castle Educate Together National School,Station Road,Adamstown,Co. Dublin,,Dublin,South Dublin County Council,16540088,Thomas Moriarty,office@acetns.ie,K78KT91,N,N,N,No subjects through Irish,Multi Denominational,210.0,228.0,438,K78KT91,53.336254,-6.459985
397,20269J,Scoil Chormaic,Scoil Chormaic CNS,Stephenstown,Balbriggan,Co Dublin,Dublin,Fingal County Council,18416948,Deirdre Corcoran,scoilchormaiccns@ddletb.ie,K32AX94,N,N,N,No subjects through Irish,Multi Denominational,282.0,272.0,554,K32AX94,53.6047038,-6.201798900000001
398,20274C,Esker Educate Together N.S.,The Glebe,Esker Lane,Lucan,Co. Dublin,Dublin,South Dublin County Council,16241462,Colette Kavanagh,office@eskeretns.ie,K78N239,N,Y,N,No subjects through Irish,Multi Denominational,179.0,234.0,413,K78N239,53.3509407,-6.4372387
399,20281W,St Benedicts and St Marys National School,Grange Park,Raheny,Dublin 5,,Dublin,Dublin City Council,18470202,Jennifer Plunkett,stbenedictsandstmarys@live.ie,D05K4N2,N,Y,N,Some subjects through Irish,Catholic,77.0,64.0,141,D05K4N2,53.3884024,-6.1642907
400,20282B,Bracken Educate Together N.S.,Castlelands,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18496850,Marian Griffin,info@brackenetns.com,K32YE94,N,Y,N,No subjects through Irish,Multi Denominational,196.0,207.0,403,K32YE94,53.6008425,-6.1781798
401,20302E,Thornleigh Educate Together National School,Thornleigh Green,Applewood Village,Swords,Co. Dublin,Dublin,Fingal County Council,18074969,Paula Carolan,office@thornleighet.com,K67PH68,N,Y,N,No subjects through Irish,Multi Denominational,186.0,169.0,355,K67PH68,53.47227179999999,-6.2337284
402,20303G,Lucan East ETNS,Kishogue Cross,Off Griffeen Avenue,Lucan,County Dublin,Dublin,South Dublin County Council,16212690,Grainne McManus,secretary@lucaneastet.ie,K78FA37,N,Y,N,No subjects through Irish,Multi Denominational,200.0,232.0,432,K78FA37,53.3383121,-6.432513
403,20304I,St. Francis of Assisi National School,Belmayne Avenue,Balgriffin,Dublin 13,,Dublin,Dublin City Council,18296007,Assumpta Kerins,office@stfrancispsbelmayne.com,D13P5VY,N,N,N,No subjects through Irish,Catholic,229.0,226.0,455,D13P5VY,53.40491480000001,-6.169914299999999
404,20307O,Skerries Educate Together National School,Kellys Bay,Skerries,Co. Dublin,,Dublin,Fingal County Council,18494050,Tomás Hickey,admin@skerrieseducatetogether.ie,K34CX46,N,Y,N,No subjects through Irish,Multi Denominational,175.0,195.0,370,K34CX46,53.5833192,-6.134496
405,20308Q,Belmayne Educate Together National School,Belmayne Avenue,Dublin 13,,,Dublin,Dublin City Council,18296980,Sinéad O'Meara,office@belmayne-etns.ie,D13DA58,N,Y,N,No subjects through Irish,Multi Denominational,221.0,216.0,437,D13DA58,53.408322,-6.1665024
406,20309S,Mary Mother of Hope Junior National School,St Charles Houben Building,Littlepace,Clonee,Dublin 15,Dublin,Fingal County Council,16405655,Alma Moran,info@hopejns.ie,D15TA49,N,N,N,No subjects through Irish,Catholic,189.0,253.0,442,D15TA49,53.4047632,-6.4238884
407,20334R,Gaelscoil Ros Eo,Gaelscoil Ros Eo,CLG Naomh Maur,Ros Eo,Co. Bhaile Átha Cliath,Dublin,Fingal County Council,18949767,TIM Ó TUACHAIGH,priomhoide@gaelscoilroseo.com,K56C867,N,N,N,All subjects through Irish,Multi Denominational,106.0,110.0,216,K56C867,53.5322123,-6.1061353
408,20338C,Holy Child National School,Larkhill Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,18375870,Sarah Reilly,office@holychildns.ie,D09YR59,N,N,N,No subjects through Irish,Catholic,322.0,84.0,406,D09YR59,53.3859343,-6.2451174
409,20348F,Holywell Educate Together National School,Holywell Road,Nevinstown,Swords,Co. Dublin,Dublin,Fingal County Council,14444386,Maria Boyne,principal@holywelletns.ie,K67AP99,N,N,N,No subjects through Irish,Multi Denominational,317.0,360.0,677,K67AP99,53.4445181,-6.208620799999999
410,20383H,Hansfield Educate Together National School,Barnwell Road,Hansfield,Dublin 15,,Dublin,Fingal County Council,18614720,Fergal Collins,fergalcollinsprincipal@gmail.com,D15H1FC,N,N,N,No subjects through Irish,Multi Denominational,286.0,342.0,628,D15H1FC,53.3916979,-6.4450797
411,20384J,Powerstown Educate Together National School,Powerstown Road,Tyrrelstown,Dublin 15,,Dublin,Fingal County Council,18272018,Aoife McGonigle,info@powerstownet.com,D15VR80,N,N,N,No subjects through Irish,Multi Denominational,142.0,175.0,317,D15VR80,53.4146934,-6.3923284
412,20392I,Pelletstown ETNS,"Ashtown Road,",Rathborne,Dublin 15,,Dublin,Dublin City Council,874483613,Caitríona Ní Cheallaigh,pelletstownetns@gmail.com,D15W571,N,N,N,No subjects through Irish,Multi Denominational,130.0,130.0,260,D15W571,53.3772931,-6.3313729
413,20394M,Gaelscoil an Chuilinn,Bóthar Bhaile an Phaoraigh,Baile an Tirialaigh,Baile Átha Cliath 15,,Dublin,Fingal County Council,18262022,Fergus Ó Conghaile,runai@gsch.ie,D15WR86,N,N,N,All subjects through Irish,Inter Denominational,149.0,143.0,292,D15WR86,53.4146543,-6.390270300000001
414,20397S,St Louise de Marillac Primary School,Drumfinn Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16234153,Alma Quinn,admin@stlouises.scoilnet.ie,D10KT99,N,Y,N,No subjects through Irish,Catholic,291.0,21.0,312,D10KT99,53.3481891,-6.3595593
415,20398U,Citywest & Saggart Community National School,Fortunestown Lane,Citywest,Dublin 24,,Dublin,South Dublin County Council,14133080,Mike Byrne,cscns@ddletb.ie,D24R920,N,N,N,No subjects through Irish,Multi Denominational,192.0,222.0,414,D24R920,53.2836617,-6.438139199999999
416,20400E,Ballinteer Educate Together National School,Notre Dame Campus,Upper Churchtown Road,Churchtown,Dublin 14,Dublin,Dun Laoghaire Rathdown,12963017,Orla Mc Carthy (Acting),info@ballinteeretns.ie,D14Y563,N,N,N,No subjects through Irish,Multi Denominational,177.0,213.0,390,D14Y563,53.2936636,-6.2513957
417,20401G,Stepaside Educate Together National School,Belarmine Vale,Stepaside,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12946753,Anne Carroll,info@stepasideetns.ie,D18H7W6,N,N,N,No subjects through Irish,Multi Denominational,138.0,199.0,337,D18H7W6,53.2602104,-6.2169123
418,20402I,City West Educate Together National School,Fortunestown Lane,Citywest,Dublin 24,,Dublin,South Dublin County Council,14035906,Caitriona Hand,Info@citywestetns.ie,D24TR94,N,N,N,No subjects through Irish,Multi Denominational,168.0,216.0,384,D24TR94,53.28368219999999,-6.4374689
419,20411J,Firhouse Educate Together National School,Ballycullen Drive,Firhouse,Dublin 24,,Dublin,South Dublin County Council,14061010,Collette Dunne,info@firhouseetns.ie,D24FW9Y,N,N,N,No subjects through Irish,Multi Denominational,130.0,158.0,288,D24FW9Y,53.2765977,-6.338079899999999
420,20412L,Gaelscoil na Giúise,Céide Bhaile Uí Chuilinn,Teach na Giúise,Baile Átha Cliath,D24 W682,Dublin,South Dublin County Council,14954064,Cuán Ó Flatharta,oifig@gaelscoilnagiuise.ie,D24W682,N,N,N,All subjects through Irish,Multi Denominational,85.0,85.0,170,D24W682,53.2765977,-6.338079899999999
421,20422O,Scoil Aoife CNS,Citywest Drive,Citywest,Dublin 24,,Dublin,South Dublin County Council,14215104,Stacey McAuley,tinacurran@sacns.ie,D24EE3V,N,Y,N,No subjects through Irish,Multi Denominational,99.0,116.0,215,D24EE3V,53.28479189999999,-6.418048499999999
422,20425U,Gaelscoil Shliabh Rua,Bóthar Bhaile Uí Ógáin,BÁC 18,Baile Átha Cliath 18,,Dublin,Dun Laoghaire Rathdown,12958589,Ruth Mhic Adaim,oifig@gsr.ie,D18K0EN,N,N,N,All subjects through Irish,Multi Denominational,120.0,116.0,236,D18K0EN,53.2562931,-6.1882033
423,20426W,Lucan Community National School,Balgaddy Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,14570432,Claire Downes,info@lucancns.ie,K78TF76,N,N,N,No subjects through Irish,Multi Denominational,103.0,120.0,223,K78TF76,53.3402803,-6.4198591
424,20429F,ST. JAMES'S PRIMARY SCHOOL,Basin Lane,James' Street,Dublin 8,,Dublin,Dublin City Council,14548461,Noreen Flynn,saintjamessps@gmail.com,D08EC96,N,Y,N,No subjects through Irish,Catholic,126.0,125.0,251,D08EC96,53.3403895,-6.290168899999999
425,20430N,Canal Way Educate Together National School,Basin Street Upper,Dublin 8,,,Dublin,Dublin City Council,14021418,Dermot Stanley,office@canalwayetns.org,D08K338,N,N,N,No subjects through Irish,Multi Denominational,135.0,182.0,317,D08K338,53.34036380000001,-6.2894442
426,20436C,St Mary's Primary School,Dorset Street Upper,Dublin 7,,,Dublin,Dublin City Council,18300841,Eadaoin Kelly,office@stmarysprimaryschool.ie,D07HF10,N,Y,N,No subjects through Irish,Catholic,124.0,119.0,243,D07HF10,53.3548071,-6.2672886
427,20437E,St Laurence's National School,Brookstone Road,Baldoyle,Dublin 13,,Dublin,Dublin City Council,18326782,Clare Finnerty,info@stlaurencesbaldoyle.org,D13C924,N,N,N,No subjects through Irish,Catholic,227.0,238.0,465,D13C924,53.3964267,-6.132883199999999
428,20441S,Shellybanks Educate Together National School,Roslyn Park,Seafort Avenue,Sandymount,Dublin 4,Dublin,South Dublin County Council,879667892,Johanne Dunne,info@shellybanksetns.ie,D04F8P5,N,N,N,No subjects through Irish,Multi Denominational,131.0,146.0,277,D04F8P5,53.3328982,-6.213877999999999
429,20445D,Malahide / Portmarnock Educate Together National School,Malahide Road,Dublin 17,,,Dublin,Fingal County Council,18455956,Emer Hoy,info@mpetns.ie,D17DR97,N,N,N,No subjects through Irish,Multi Denominational,130.0,130.0,260,D17DR97,53.4223766,-6.1757025
430,20450T,Assumption Junior School,Sisters of Charity,Walkinstown,Dublin 12,,Dublin,Dublin City Council,14507613,Jean Leonard,principal@assumptionjns.com,D12EH70,N,N,N,No subjects through Irish,Catholic,213.0,188.0,401,D12EH70,53.3228994,-6.3321158
431,20453C,Broombridge Educate Together National School,Bannow Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18682650,Eibh Ní Mhordha,broombridgeetns@gmail.com,D07TD93,N,N,N,No subjects through Irish,Multi Denominational,50.0,69.0,119,D07TD93,53.3708109,-6.2939088
432,20463F,Holy Spirit Junior Primary School,Limekiln Lane,Greenhills,Dublin 12,,Dublin,South Dublin County Council,14569173,Fionnuala Redmond,holyspiritjps@gmail.com,D12V880,N,Y,N,No subjects through Irish,Catholic,125.0,126.0,251,D12V880,53.3088594,-6.3283935
433,20464H,Holy Spirit Senior Primary School,Limekiln Lane,Greenhills,Dublin 12,,Dublin,Dublin City Council,14506019,Elizabeth Murray,principalholyspiritgreenhills@gmail.com,D12AY63,N,Y,N,No subjects through Irish,Catholic,198.0,122.0,320,D12AY63,53.3086004,-6.3292991
434,20468P,St Dominic's National School,Mountain Park,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14512443,Seamus Vaughan,secretary@stdominicsns.ie,D24P7XC,N,Y,N,No subjects through Irish,Catholic,173.0,192.0,365,D24P7XC,53.28594620000001,-6.357417
435,20486R,Grace Park Educate Together National School,DCU All Hallows Campus,Grace Park Road,Drumcondra,Dublin 9,Dublin,Dublin City Council,851368422,Marcus Wynne / Caroline Mee Acting Principal,info@graceparketns.com,D09KDW4,N,N,N,No subjects through Irish,Multi Denominational,80.0,102.0,182,D09KDW4,53.3723734,-6.247548099999999
436,20487T,Gaelscoil na Fuinseoige,Páirc Finsbury,Baile an Teampaill,BÁC 14,,Dublin,Dun Laoghaire Rathdown,12989851,Aisling Uí Fhéich,oifig@gsnafuinseoige.ie,D14N960,N,N,N,All subjects through Irish,Multi Denominational,68.0,72.0,140,D14N960,53.2933357,-6.2523718
437,20488V,Scoil Úna Naofa,Armagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,14555127,Adrienne Ní Cheallaigh,scoilunanaofa@gmail.com,D12W524,N,Y,N,No subjects through Irish,Catholic,207.0,205.0,412,D12W524,53.3206231,-6.307464899999999
438,20494Q,Riverview Educate Together National School,Limekiln Road,Greenhills,Dublin 12,,Dublin,South Dublin County Council,14604468,Margaret Burke,rvetns@gmail.com,D12VY8A,N,N,N,No subjects through Irish,Multi Denominational,50.0,69.0,119,D12VY8A,53.3050563,-6.328393699999999
439,20501K,Harcourt Terrace Educate Together National School,151-153 Harold's Cross Road,Harold's Cross,Dublin 6W,,Dublin,Dublin City Council,867768394,Niamh Cullen,info@harcourtterrace.com,D6WHP44,N,N,N,No subjects through Irish,Multi Denominational,11.0,20.0,31,D6WHP44,53.3236468,-6.2776649
440,20502M,Scoil Sinead NS,Scoil Sinead Pelletstown,"Patrician College Campus,","Deanstown,","Finglas,",Dublin,Dublin City Council,861453205,Marianne Henry,principal@scoilsinead.ie,D11HN88,N,N,N,No subjects through Irish,Multi Denominational,8.0,22.0,30,D11HN88,53.3840963,-6.3180084
441,20503O,Dun Laoghaire ETNS,C/O The Red Door School,Monkstown Grove,Monkstown Avenue,Co. Dublin,Dublin,Dun Laoghaire Rathdown,864667017,Anne Marie Lillis,principal.dunlaoghaireetns@gmail.com,A94D3H7,N,N,N,No subjects through Irish,Multi Denominational,33.0,29.0,62,A94D3H7,53.2872644,-6.1549672
442,20507W,St Laurence O'Toole's National School,"St. Laurence Place East,","Seville Place,",Dublin 1,,Dublin,Dublin City Council,18364577,Mona Lucas,office@stlaurenceotoolesns.ie,,N,Y,N,No subjects through Irish,Catholic,117.0,46.0,163,"St Laurence O'Toole's National School St. Laurence Place East,, Seville Place,, Dublin 1",53.3511132,-6.242473299999999
443,20509D,Lusk Junior National School St Maccullins,Chapel Road,Lusk,Co. Dublin,,Dublin,Fingal County Council,18709242,Orfhlaith Clarke,office@luskjns.ie,,N,N,N,No subjects through Irish,Catholic,222.0,219.0,441,"Lusk Junior National School St Maccullins Chapel Road, Lusk, Co. Dublin",53.5299457,-6.1713295
444,20517C,Drumcondra Marino Dublin 1 gaelscoil,"Bóthar Naomh Mobhí,","Droim Conrach,",,,Dublin,Dublin City Council,18377941,Niamh Nic Dhiarmada,gaelscoilaine@gmail.com,D09XP65,N,N,N,All subjects through Irish,Multi Denominational,8.0,8.0,16,D09XP65,53.3730795,-6.2636596
445,20518E,Gaelscoil Laighean,Lána na Cille,Cill na Gráinsí,An Charraig Dhubh,Co. Bhaile Átha Cliath,Dublin,Dun Laoghaire Rathdown,858036710,Aoife Ní Scolaí,gslaighean@gmail.com,A94FC44,N,N,N,All subjects through Irish,Multi Denominational,10.0,2.0,12,A94FC44,53.2794868,-6.1625079
446,20519G,Stapolin Educate Together National School,Grange Abbey Road,Donaghmede,,,Dublin,Dublin City Council,868374715,Clodagh Farrell,d13etns@gmail.com,D13NX25,N,N,N,No subjects through Irish,Multi Denominational,8.0,11.0,19,D13NX25,53.4004797,-6.1570583
447,20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,151/153 Harold's Cross Road,Dublin 6w,,,Dublin,Dublin City Council,863471806,Cian Gleeson,principal.haroldscrossetns@gmail.com,D6WHP44,N,N,N,No subjects through Irish,Multi Denominational,6.0,6.0,12,D6WHP44,53.3236468,-6.2776649
448,20523U,Goatstown Stillorgan Primary School,Grafton House,Ballymoss Road,Sandyford Industrial Estate,D. 18,Dublin,Dun Laoghaire Rathdown,873878592,Diane Devereux,info@goatstownstillorganetns.com,D18P274,N,N,N,No subjects through Irish,Multi Denominational,2.0,6.0,8,D18P274,53.27840279999999,-6.2113282
449,20525B,Killester Raheny Clontarf Educate Together National School,Killester Raheny Clontarf ETNS,C/O Suttonians RFC,Station Road,Dublin 13,Dublin,Dublin City Council,868550965,Níamh O'Toole,info.krcetns@gmail.com,D13C3K8,N,N,N,No subjects through Irish,Multi Denominational,3.0,4.0,7,D13C3K8,53.3908101,-6.1131553
450,20528H,River Valley CNS,Swords South,Dublin,,,Dublin,Fingal County Council,858705523,Anne McArdle,info@rivervalleycns.ie,,N,N,N,No subjects through Irish,Multi Denominational,9.0,6.0,15,,,
451,20545H,St Christopher's NS,Haddington Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,16681155,Annemarie Hogan,principal@scps.ie,D04FP20,N,Y,N,Some subjects through Irish,Catholic,318.0,308.0,626,D04FP20,53.3350796,-6.2402099
